10:03:37.084 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weather.siquche.SiqucheApplicationTests], using SpringBootContextLoader
10:03:37.105 INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weather.siquche.SiqucheApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
10:03:37.106 INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weather.siquche.SiqucheApplicationTests]: SiqucheApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:03:37.968 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weather.siquche.SiqucheApplication for test class com.weather.siquche.SiqucheApplicationTests
10:03:38.225 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
10:03:38.298 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@62727399, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4d9ac0b4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@130dca52, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2654635, org.springframework.test.context.support.DirtiesContextTestExecutionListener@737a135b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@687ef2e0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15dcfae7, org.springframework.test.context.event.EventPublishingTestExecutionListener@3da05287, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e636ea3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@115667d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@736caf7a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4ce7fffa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@497486b3]
10:03:39.413 INFO  com.weather.siquche.SiqucheApplicationTests - Starting SiqucheApplicationTests on 0FCUYVOZI99DT1M with PID 10480 (started by Administrator in D:\siquche\siquche)
10:03:39.414 INFO  com.weather.siquche.SiqucheApplicationTests - No active profile set, falling back to default profiles: default
10:03:42.438 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:03:42.442 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
10:03:42.491 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 repository interfaces.
10:03:43.338 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.weather.siquche.cofig.RedisConfig$$EnhancerBySpringCGLIB$$4f74555] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:03:43.346 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:03:46.533 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
10:03:48.723 INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
10:03:50.442 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:03:51.495 INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
10:03:51.546 INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
